DATE,PERIOD,VOLUME_USD,SWAPS,UNIQUE_SWAPPERS,ACTIVE_POOLS
2023-06-01 00:00:00.000,no fee,683143554.01,399548,125537,6580
2023-06-02 00:00:00.000,no fee,642063241.32,402512,122206,6944
2023-06-03 00:00:00.000,no fee,406752640.41,342319,119302,6784
2023-06-04 00:00:00.000,no fee,374768146.57,352197,122302,6728
2023-06-05 00:00:00.000,no fee,1166759428.52,442405,126099,7419
2023-06-06 00:00:00.000,no fee,1058627013.07,414622,117311,6984
2023-06-07 00:00:00.000,no fee,943782297.25,410614,112829,7029
2023-06-08 00:00:00.000,no fee,556818197.37,385540,116375,6724
2023-06-09 00:00:00.000,no fee,624375116.54,375461,115943,6910
2023-06-10 00:00:00.000,no fee,1804283522.91,528977,116771,7441
2023-06-11 00:00:00.000,no fee,548752014.2,363044,105129,6368
2023-06-12 00:00:00.000,no fee,895246568.21,419455,113022,6720
2023-06-13 00:00:00.000,no fee,871311199.16,397763,108819,6743
2023-06-14 00:00:00.000,no fee,1030751633.32,378391,109911,6745
2023-06-15 00:00:00.000,no fee,1189698352.12,394937,112920,6577
2023-06-16 00:00:00.000,no fee,826536849.89,394728,120062,6492
2023-06-17 00:00:00.000,no fee,584455882.13,363945,107486,6427
2023-06-18 00:00:00.000,no fee,408289516.2,323767,99934,6150
2023-06-19 00:00:00.000,no fee,722378114.84,346052,109236,6302
2023-06-20 00:00:00.000,no fee,1093398059.18,398601,114871,6789
2023-06-21 00:00:00.000,no fee,1841353049.34,471337,122780,7251
2023-06-22 00:00:00.000,no fee,1286038295.25,415547,116557,7123
2023-06-23 00:00:00.000,no fee,1239791146.21,419687,115338,6612
2023-06-24 00:00:00.000,no fee,615657358.72,335507,98779,6712
2023-06-25 00:00:00.000,no fee,842038335.01,382611,102626,6859
2023-06-26 00:00:00.000,no fee,1144857088.16,421807,116820,6738
2023-06-27 00:00:00.000,no fee,1094661872.58,425467,129774,6688
2023-06-28 00:00:00.000,no fee,935217350.71,438009,118051,6729
2023-06-29 00:00:00.000,no fee,784478826.15,461632,135703,6541
2023-06-30 00:00:00.000,no fee,1954992002.86,545705,135398,6855
2023-07-01 00:00:00.000,no fee,651453859.66,401766,124592,6954
2023-07-02 00:00:00.000,no fee,719709048.29,404413,120286,6997
2023-07-03 00:00:00.000,no fee,1026120280.89,457901,143372,7022
2023-07-04 00:00:00.000,no fee,750008892.23,376363,121146,6617
2023-07-05 00:00:00.000,no fee,814813615.04,330354,103863,5468
2023-07-06 00:00:00.000,no fee,1140091386.91,442575,121758,6401
2023-07-07 00:00:00.000,no fee,771879413.79,443049,121581,6852
2023-07-08 00:00:00.000,no fee,460107810.54,380136,118415,7193
2023-07-09 00:00:00.000,no fee,469603338.07,377094,113844,7177
2023-07-10 00:00:00.000,no fee,818053578.55,430860,124981,7256
2023-07-11 00:00:00.000,no fee,582230010.5,397608,121442,7057
2023-07-12 00:00:00.000,no fee,773777582.94,401438,123648,6883
2023-07-13 00:00:00.000,no fee,1596028895.28,489120,130796,7287
2023-07-14 00:00:00.000,no fee,1503370359.79,540099,135544,7423
2023-07-15 00:00:00.000,no fee,608281386.12,415897,126636,7213
2023-07-16 00:00:00.000,no fee,544204891.81,429719,122073,7152
2023-07-17 00:00:00.000,no fee,1061524383.55,504645,125968,6964
2023-07-18 00:00:00.000,no fee,852279009.78,439069,133755,6554
2023-07-19 00:00:00.000,no fee,769959184.32,444666,126649,6855
2023-07-20 00:00:00.000,no fee,899210935.68,460967,125001,6874
2023-07-21 00:00:00.000,no fee,610343692.83,418802,121419,6708
2023-07-22 00:00:00.000,no fee,569145247.3,394828,123617,6987
2023-07-23 00:00:00.000,no fee,490814704.04,414772,124854,7072
2023-07-24 00:00:00.000,no fee,775432910.87,452858,128734,6858
2023-07-25 00:00:00.000,no fee,487470345.07,431750,126276,6979
2023-07-26 00:00:00.000,no fee,790018209.13,438311,129136,7005
2023-07-27 00:00:00.000,no fee,585495532.28,426462,125215,6745
2023-07-28 00:00:00.000,no fee,448892640.78,431290,130818,6625
2023-07-29 00:00:00.000,no fee,279832564.19,391634,124268,6993
2023-07-30 00:00:00.000,no fee,608533007.86,372871,121594,6858
2023-07-31 00:00:00.000,no fee,731347536.81,399256,127555,6793
2023-08-01 00:00:00.000,no fee,924063831.31,440852,120414,7170
2023-08-02 00:00:00.000,no fee,703139394.76,449728,119990,6827
2023-08-03 00:00:00.000,no fee,529836492.12,429465,126005,7095
2023-08-04 00:00:00.000,no fee,575256313.94,404179,119596,7213
2023-08-05 00:00:00.000,no fee,291069935.38,367935,115099,6853
2023-08-06 00:00:00.000,no fee,362538491.42,349934,111262,6912
2023-08-07 00:00:00.000,no fee,685256133.91,412573,119368,6954
2023-08-08 00:00:00.000,no fee,856878465.52,484177,121065,7005
2023-08-09 00:00:00.000,no fee,655924568.78,431590,123342,7066
2023-08-10 00:00:00.000,no fee,474328020.73,403778,117490,6982
2023-08-11 00:00:00.000,no fee,427277000.73,377365,121842,7026
2023-08-12 00:00:00.000,no fee,250507427.65,346066,112246,7064
2023-08-13 00:00:00.000,no fee,352095240.6,351726,110729,7076
2023-08-14 00:00:00.000,no fee,500985871.62,373425,110480,6793
2023-08-15 00:00:00.000,no fee,585355818.46,409336,122757,7020
2023-08-16 00:00:00.000,no fee,693831204.09,455289,120050,7002
2023-08-17 00:00:00.000,no fee,2050685473.72,481148,119536,7046
2023-08-18 00:00:00.000,no fee,1074625043.85,440986,120070,7542
2023-08-19 00:00:00.000,no fee,454174243.38,343670,110623,7179
2023-08-20 00:00:00.000,no fee,422974923.17,339351,105006,6860
2023-08-21 00:00:00.000,no fee,606536138.72,399483,118777,6907
2023-08-22 00:00:00.000,no fee,1019196681.34,416523,117918,6808
2023-08-23 00:00:00.000,no fee,874843601.12,408155,115695,6790
2023-08-24 00:00:00.000,no fee,628773854.4,370369,113094,6747
2023-08-25 00:00:00.000,no fee,716425617.34,398787,105892,6652
2023-08-26 00:00:00.000,no fee,297021684.62,296682,97475,6777
2023-08-27 00:00:00.000,no fee,315647676.38,291189,92255,6631
2023-08-28 00:00:00.000,no fee,670275163.4,391983,101899,6454
2023-08-29 00:00:00.000,no fee,1301719656.51,424732,105536,6852
2023-08-30 00:00:00.000,no fee,603313195.13,342244,104349,6713
2023-08-31 00:00:00.000,no fee,876247926.29,378243,106460,7097
2023-09-01 00:00:00.000,no fee,815089900.68,342608,99308,7236
2023-09-02 00:00:00.000,no fee,351410772.03,291218,91038,6748
2023-09-03 00:00:00.000,no fee,345980275.27,296029,87971,6688
2023-09-04 00:00:00.000,no fee,496017716.23,334626,94250,6725
2023-09-05 00:00:00.000,no fee,527521140.24,344540,99332,6976
2023-09-06 00:00:00.000,no fee,668770038.74,369389,100143,6925
2023-09-07 00:00:00.000,no fee,556729718.94,347506,97390,6626
2023-09-08 00:00:00.000,no fee,485790283.58,339281,95420,6824
2023-09-09 00:00:00.000,no fee,212074943.79,288656,84969,6675
2023-09-10 00:00:00.000,no fee,563328056.16,313378,83603,7018
2023-09-11 00:00:00.000,no fee,1027093019.53,393790,94304,7167
2023-09-12 00:00:00.000,no fee,858452806.74,377359,89947,7016
2023-09-13 00:00:00.000,no fee,664786171.88,324264,84365,6390
