DATE,PERIOD,NEW_POOLS_CREATED
2023-06-01 00:00:00.000,no fee,100
2023-06-02 00:00:00.000,no fee,115
2023-06-03 00:00:00.000,no fee,92
2023-06-04 00:00:00.000,no fee,125
2023-06-05 00:00:00.000,no fee,83
2023-06-06 00:00:00.000,no fee,93
2023-06-07 00:00:00.000,no fee,95
2023-06-08 00:00:00.000,no fee,119
2023-06-09 00:00:00.000,no fee,94
2023-06-10 00:00:00.000,no fee,94
2023-06-11 00:00:00.000,no fee,70
2023-06-12 00:00:00.000,no fee,98
2023-06-13 00:00:00.000,no fee,97
2023-06-14 00:00:00.000,no fee,104
2023-06-15 00:00:00.000,no fee,90
2023-06-16 00:00:00.000,no fee,95
2023-06-17 00:00:00.000,no fee,62
2023-06-18 00:00:00.000,no fee,59
2023-06-19 00:00:00.000,no fee,91
2023-06-20 00:00:00.000,no fee,85
2023-06-21 00:00:00.000,no fee,133
2023-06-22 00:00:00.000,no fee,83
2023-06-23 00:00:00.000,no fee,93
2023-06-24 00:00:00.000,no fee,85
2023-06-25 00:00:00.000,no fee,88
2023-06-26 00:00:00.000,no fee,76
2023-06-27 00:00:00.000,no fee,78
2023-06-28 00:00:00.000,no fee,92
2023-06-29 00:00:00.000,no fee,88
2023-06-30 00:00:00.000,no fee,107
2023-07-01 00:00:00.000,no fee,81
2023-07-02 00:00:00.000,no fee,51
2023-07-03 00:00:00.000,no fee,68
2023-07-04 00:00:00.000,no fee,73
2023-07-05 00:00:00.000,no fee,60
2023-07-06 00:00:00.000,no fee,74
2023-07-07 00:00:00.000,no fee,75
2023-07-08 00:00:00.000,no fee,94
2023-07-09 00:00:00.000,no fee,89
2023-07-10 00:00:00.000,no fee,91
2023-07-11 00:00:00.000,no fee,71
2023-07-12 00:00:00.000,no fee,96
2023-07-13 00:00:00.000,no fee,86
2023-07-14 00:00:00.000,no fee,81
2023-07-15 00:00:00.000,no fee,54
2023-07-16 00:00:00.000,no fee,57
2023-07-17 00:00:00.000,no fee,79
2023-07-18 00:00:00.000,no fee,61
2023-07-19 00:00:00.000,no fee,96
2023-07-20 00:00:00.000,no fee,87
2023-07-21 00:00:00.000,no fee,74
2023-07-22 00:00:00.000,no fee,73
2023-07-23 00:00:00.000,no fee,84
2023-07-24 00:00:00.000,no fee,123
2023-07-25 00:00:00.000,no fee,80
2023-07-26 00:00:00.000,no fee,68
2023-07-27 00:00:00.000,no fee,64
2023-07-28 00:00:00.000,no fee,84
2023-07-29 00:00:00.000,no fee,79
2023-07-30 00:00:00.000,no fee,49
2023-07-31 00:00:00.000,no fee,74
2023-08-01 00:00:00.000,no fee,71
2023-08-02 00:00:00.000,no fee,60
2023-08-03 00:00:00.000,no fee,74
2023-08-04 00:00:00.000,no fee,87
2023-08-05 00:00:00.000,no fee,77
2023-08-06 00:00:00.000,no fee,70
2023-08-07 00:00:00.000,no fee,174
2023-08-08 00:00:00.000,no fee,217
2023-08-09 00:00:00.000,no fee,212
2023-08-10 00:00:00.000,no fee,209
2023-08-11 00:00:00.000,no fee,179
2023-08-12 00:00:00.000,no fee,149
2023-08-13 00:00:00.000,no fee,108
2023-08-14 00:00:00.000,no fee,102
2023-08-15 00:00:00.000,no fee,140
2023-08-16 00:00:00.000,no fee,111
2023-08-17 00:00:00.000,no fee,85
2023-08-18 00:00:00.000,no fee,216
2023-08-19 00:00:00.000,no fee,78
2023-08-20 00:00:00.000,no fee,77
2023-08-21 00:00:00.000,no fee,115
2023-08-22 00:00:00.000,no fee,90
2023-08-23 00:00:00.000,no fee,91
2023-08-24 00:00:00.000,no fee,64
2023-08-25 00:00:00.000,no fee,79
2023-08-26 00:00:00.000,no fee,81
2023-08-27 00:00:00.000,no fee,76
2023-08-28 00:00:00.000,no fee,88
2023-08-29 00:00:00.000,no fee,91
2023-08-30 00:00:00.000,no fee,81
2023-08-31 00:00:00.000,no fee,86
2023-09-01 00:00:00.000,no fee,82
2023-09-02 00:00:00.000,no fee,98
2023-09-03 00:00:00.000,no fee,68
2023-09-04 00:00:00.000,no fee,76
2023-09-05 00:00:00.000,no fee,91
2023-09-06 00:00:00.000,no fee,61
2023-09-07 00:00:00.000,no fee,86
2023-09-08 00:00:00.000,no fee,67
2023-09-09 00:00:00.000,no fee,47
2023-09-10 00:00:00.000,no fee,49
2023-09-11 00:00:00.000,no fee,57
2023-09-12 00:00:00.000,no fee,57
2023-09-13 00:00:00.000,no fee,77
2023-09-14 00:00:00.000,no fee,74
2023-09-15 00:00:00.000,no fee,79
2023-09-16 00:00:00.000,no fee,81
2023-09-17 00:00:00.000,no fee,48
2023-09-18 00:00:00.000,no fee,83
2023-09-19 00:00:00.000,no fee,92
2023-09-20 00:00:00.000,no fee,77
2023-09-21 00:00:00.000,no fee,77
2023-09-22 00:00:00.000,no fee,73
2023-09-23 00:00:00.000,no fee,85
2023-09-24 00:00:00.000,no fee,68
2023-09-25 00:00:00.000,no fee,81
2023-09-26 00:00:00.000,no fee,95
2023-09-27 00:00:00.000,no fee,67
2023-09-28 00:00:00.000,no fee,54
2023-09-29 00:00:00.000,no fee,90
2023-09-30 00:00:00.000,no fee,47
2023-10-01 00:00:00.000,no fee,60
2023-10-02 00:00:00.000,no fee,75
2023-10-03 00:00:00.000,no fee,77
2023-10-04 00:00:00.000,no fee,84
2023-10-05 00:00:00.000,no fee,69
2023-10-06 00:00:00.000,no fee,77
2023-10-07 00:00:00.000,no fee,71
2023-10-08 00:00:00.000,no fee,55
2023-10-09 00:00:00.000,no fee,115
2023-10-10 00:00:00.000,no fee,93
2023-10-11 00:00:00.000,no fee,59
2023-10-12 00:00:00.000,no fee,88
2023-10-13 00:00:00.000,no fee,91
2023-10-14 00:00:00.000,no fee,77
2023-10-15 00:00:00.000,no fee,68
2023-10-16 00:00:00.000,no fee,87
2023-10-17 00:00:00.000,0.15% fee,80
2023-10-18 00:00:00.000,0.15% fee,77
2023-10-19 00:00:00.000,0.15% fee,99
2023-10-20 00:00:00.000,0.15% fee,78
2023-10-21 00:00:00.000,0.15% fee,85
2023-10-22 00:00:00.000,0.15% fee,89
2023-10-23 00:00:00.000,0.15% fee,67
