DATE,PERIOD,CHAIN,NEW_POOLS_CREATED
2023-06-01 00:00:00.000,no fee,Arbitrum,16
2023-06-01 00:00:00.000,no fee,BSC,13
2023-06-01 00:00:00.000,no fee,Ethereum,37
2023-06-01 00:00:00.000,no fee,Optimism,1
2023-06-01 00:00:00.000,no fee,Polygon,33
2023-06-02 00:00:00.000,no fee,Arbitrum,33
2023-06-02 00:00:00.000,no fee,BSC,7
2023-06-02 00:00:00.000,no fee,Ethereum,44
2023-06-02 00:00:00.000,no fee,Optimism,2
2023-06-02 00:00:00.000,no fee,Polygon,29
2023-06-03 00:00:00.000,no fee,Arbitrum,30
2023-06-03 00:00:00.000,no fee,BSC,3
2023-06-03 00:00:00.000,no fee,Ethereum,47
2023-06-03 00:00:00.000,no fee,Polygon,12
2023-06-04 00:00:00.000,no fee,Arbitrum,29
2023-06-04 00:00:00.000,no fee,BSC,16
2023-06-04 00:00:00.000,no fee,Ethereum,39
2023-06-04 00:00:00.000,no fee,Optimism,1
2023-06-04 00:00:00.000,no fee,Polygon,40
2023-06-05 00:00:00.000,no fee,Arbitrum,19
2023-06-05 00:00:00.000,no fee,BSC,8
2023-06-05 00:00:00.000,no fee,Ethereum,20
2023-06-05 00:00:00.000,no fee,Optimism,5
2023-06-05 00:00:00.000,no fee,Polygon,31
2023-06-06 00:00:00.000,no fee,Arbitrum,23
2023-06-06 00:00:00.000,no fee,BSC,5
2023-06-06 00:00:00.000,no fee,Ethereum,41
2023-06-06 00:00:00.000,no fee,Optimism,3
2023-06-06 00:00:00.000,no fee,Polygon,21
2023-06-07 00:00:00.000,no fee,Arbitrum,24
2023-06-07 00:00:00.000,no fee,BSC,15
2023-06-07 00:00:00.000,no fee,Ethereum,28
2023-06-07 00:00:00.000,no fee,Optimism,3
2023-06-07 00:00:00.000,no fee,Polygon,25
2023-06-08 00:00:00.000,no fee,Arbitrum,29
2023-06-08 00:00:00.000,no fee,BSC,19
2023-06-08 00:00:00.000,no fee,Ethereum,45
2023-06-08 00:00:00.000,no fee,Optimism,5
2023-06-08 00:00:00.000,no fee,Polygon,21
2023-06-09 00:00:00.000,no fee,Arbitrum,27
2023-06-09 00:00:00.000,no fee,BSC,8
2023-06-09 00:00:00.000,no fee,Ethereum,35
2023-06-09 00:00:00.000,no fee,Optimism,4
2023-06-09 00:00:00.000,no fee,Polygon,20
2023-06-10 00:00:00.000,no fee,Arbitrum,27
2023-06-10 00:00:00.000,no fee,BSC,9
2023-06-10 00:00:00.000,no fee,Ethereum,33
2023-06-10 00:00:00.000,no fee,Optimism,1
2023-06-10 00:00:00.000,no fee,Polygon,24
2023-06-11 00:00:00.000,no fee,Arbitrum,20
2023-06-11 00:00:00.000,no fee,BSC,7
2023-06-11 00:00:00.000,no fee,Ethereum,22
2023-06-11 00:00:00.000,no fee,Polygon,21
2023-06-12 00:00:00.000,no fee,Arbitrum,26
2023-06-12 00:00:00.000,no fee,BSC,12
2023-06-12 00:00:00.000,no fee,Ethereum,38
2023-06-12 00:00:00.000,no fee,Optimism,1
2023-06-12 00:00:00.000,no fee,Polygon,21
2023-06-13 00:00:00.000,no fee,Arbitrum,23
