DATE,PLATFORM,PERIOD,VOLUME_USD,SWAPS,UNIQUE_SWAPPERS,ACTIVE_POOLS
2023-06-01 00:00:00.000,uniswap-v2,no fee,95080618.35,177387,45960,3755
2023-06-01 00:00:00.000,uniswap-v3,no fee,588062935.66,228349,89900,2825
2023-06-02 00:00:00.000,uniswap-v2,no fee,92045325.5,163347,44058,4024
2023-06-02 00:00:00.000,uniswap-v3,no fee,550017915.82,243680,86618,2920
2023-06-03 00:00:00.000,uniswap-v2,no fee,78002189.15,147438,41272,3995
2023-06-03 00:00:00.000,uniswap-v3,no fee,328750451.26,199485,86227,2789
2023-06-04 00:00:00.000,uniswap-v2,no fee,70028508.61,142591,40614,3961
2023-06-04 00:00:00.000,uniswap-v3,no fee,304739637.96,213831,89959,2767
2023-06-05 00:00:00.000,uniswap-v2,no fee,102263646.43,155375,42055,4278
2023-06-05 00:00:00.000,uniswap-v3,no fee,1064495782.09,292683,93564,3141
2023-06-06 00:00:00.000,uniswap-v2,no fee,91326295.62,150019,40701,3878
2023-06-06 00:00:00.000,uniswap-v3,no fee,967300717.45,269119,85249,3106
2023-06-07 00:00:00.000,uniswap-v2,no fee,82122392.94,143711,39535,3872
2023-06-07 00:00:00.000,uniswap-v3,no fee,861659904.31,271467,81872,3157
2023-06-08 00:00:00.000,uniswap-v2,no fee,66235572.44,151380,39084,3770
2023-06-08 00:00:00.000,uniswap-v3,no fee,490582624.93,238712,85236,2954
2023-06-09 00:00:00.000,uniswap-v2,no fee,75482591.42,131967,37893,3885
2023-06-09 00:00:00.000,uniswap-v3,no fee,548892525.12,247905,85355,3025
2023-06-10 00:00:00.000,uniswap-v2,no fee,93597968.68,93858,31500,3874
2023-06-10 00:00:00.000,uniswap-v3,no fee,1710685554.23,440743,92990,3567
2023-06-11 00:00:00.000,uniswap-v2,no fee,50837818.44,89837,26889,3419
2023-06-11 00:00:00.000,uniswap-v3,no fee,497914195.76,276213,83804,2949
2023-06-12 00:00:00.000,uniswap-v2,no fee,61472745.86,120319,33222,3745
2023-06-12 00:00:00.000,uniswap-v3,no fee,833773822.35,303309,86810,2975
2023-06-13 00:00:00.000,uniswap-v2,no fee,63459080.97,111460,32812,3792
2023-06-13 00:00:00.000,uniswap-v3,no fee,807852118.19,290616,82941,2951
2023-06-14 00:00:00.000,uniswap-v2,no fee,70298549.66,114459,32697,3712
2023-06-14 00:00:00.000,uniswap-v3,no fee,960453083.66,267740,83987,3033
2023-06-15 00:00:00.000,uniswap-v2,no fee,62630848.23,123348,33331,3522
2023-06-15 00:00:00.000,uniswap-v3,no fee,1127067503.89,275738,85959,3055
2023-06-16 00:00:00.000,uniswap-v2,no fee,87816539.55,144546,37505,3508
2023-06-16 00:00:00.000,uniswap-v3,no fee,738720310.34,254153,88448,2984
2023-06-17 00:00:00.000,uniswap-v2,no fee,58526432.33,143001,35836,3526
2023-06-17 00:00:00.000,uniswap-v3,no fee,525929449.8,226115,78539,2901
2023-06-18 00:00:00.000,uniswap-v2,no fee,50809505.3,125079,31081,3426
2023-06-18 00:00:00.000,uniswap-v3,no fee,357480010.9,202403,74184,2724
2023-06-19 00:00:00.000,uniswap-v2,no fee,53987914.34,126051,33649,3507
2023-06-19 00:00:00.000,uniswap-v3,no fee,668390200.5,223433,81434,2795
2023-06-20 00:00:00.000,uniswap-v2,no fee,66559042.88,131504,35876,3743
2023-06-20 00:00:00.000,uniswap-v3,no fee,1026839016.3,270829,84966,3046
