DATE,CHAIN,PERIOD,VOLUME_USD,SWAPS,UNIQUE_SWAPPERS,ACTIVE_POOLS
2023-06-01 00:00:00.000,Arbitrum,no fee,25160473.42,74019,31534,521
2023-06-01 00:00:00.000,BSC,no fee,3407581.94,17598,11580,165
2023-06-01 00:00:00.000,Ethereum,no fee,612415362.95,221617,60201,4871
2023-06-01 00:00:00.000,Optimism,no fee,4789933.14,29966,9631,222
2023-06-01 00:00:00.000,Polygon,no fee,37370202.56,56348,18723,801
2023-06-02 00:00:00.000,Arbitrum,no fee,56238678.89,88556,32670,548
2023-06-02 00:00:00.000,BSC,no fee,3517458.02,16352,10507,165
2023-06-02 00:00:00.000,Ethereum,no fee,541658141.74,200646,56787,5189
2023-06-02 00:00:00.000,Optimism,no fee,4975497.12,32264,12038,226
2023-06-02 00:00:00.000,Polygon,no fee,35673465.55,64694,16690,816
2023-06-03 00:00:00.000,Arbitrum,no fee,31339795.58,73625,31656,528
2023-06-03 00:00:00.000,BSC,no fee,1789536.52,15654,11091,139
2023-06-03 00:00:00.000,Ethereum,no fee,353432806.29,179649,52957,5202
2023-06-03 00:00:00.000,Optimism,no fee,3816058.69,28775,12815,213
2023-06-03 00:00:00.000,Polygon,no fee,16374443.33,44616,18425,702
2023-06-04 00:00:00.000,Arbitrum,no fee,21829772.52,79629,34952,520
2023-06-04 00:00:00.000,BSC,no fee,1708531.69,18667,13248,150
2023-06-04 00:00:00.000,Ethereum,no fee,327648777.54,178086,52634,5119
2023-06-04 00:00:00.000,Optimism,no fee,3715581.98,30666,12186,198
2023-06-04 00:00:00.000,Polygon,no fee,19865482.84,45149,17770,741
2023-06-05 00:00:00.000,Arbitrum,no fee,78627190.57,104924,32522,575
2023-06-05 00:00:00.000,BSC,no fee,9257912.88,24558,14037,189
2023-06-05 00:00:00.000,Ethereum,no fee,1016973756.3,201284,56442,5506
2023-06-05 00:00:00.000,Optimism,no fee,10165009.56,46619,11293,238
2023-06-05 00:00:00.000,Polygon,no fee,51735559.21,65020,20375,911
2023-06-06 00:00:00.000,Arbitrum,no fee,72206834.77,97820,29916,586
2023-06-06 00:00:00.000,BSC,no fee,5677142.76,22005,13503,169
2023-06-06 00:00:00.000,Ethereum,no fee,915549353.1,195354,54881,5124
2023-06-06 00:00:00.000,Optimism,no fee,6760342.07,27641,7629,215
2023-06-06 00:00:00.000,Polygon,no fee,58433340.37,71802,17789,890
2023-06-07 00:00:00.000,Arbitrum,no fee,49612560.37,85550,27660,574
2023-06-07 00:00:00.000,BSC,no fee,3673618.06,22057,12588,195
2023-06-07 00:00:00.000,Ethereum,no fee,822305956.47,186313,51472,5116
2023-06-07 00:00:00.000,Optimism,no fee,5922127.78,34332,10500,238
2023-06-07 00:00:00.000,Polygon,no fee,62268034.57,82362,17149,906
2023-06-08 00:00:00.000,Arbitrum,no fee,36966815.55,70090,28414,557
2023-06-08 00:00:00.000,BSC,no fee,2664857.48,21351,14208,170
2023-06-08 00:00:00.000,Ethereum,no fee,480495332.52,184811,49980,4954
2023-06-08 00:00:00.000,Optimism,no fee,5531007.36,33068,13608,230
2023-06-08 00:00:00.000,Polygon,no fee,31160184.46,76220,17510,813
2023-06-09 00:00:00.000,Arbitrum,no fee,90230646.35,68939,28947,559
2023-06-09 00:00:00.000,BSC,no fee,2006828.56,18540,12110,163
2023-06-09 00:00:00.000,Ethereum,no fee,490454147,162162,48993,5058
2023-06-09 00:00:00.000,Optimism,no fee,4435773.31,45123,15349,236
