DATE,PERIOD,NEW_USERS
2023-06-01 00:00:00.000,no fee,37719
2023-06-02 00:00:00.000,no fee,33933
2023-06-03 00:00:00.000,no fee,38789
2023-06-04 00:00:00.000,no fee,39139
2023-06-05 00:00:00.000,no fee,37135
2023-06-06 00:00:00.000,no fee,33446
2023-06-07 00:00:00.000,no fee,32407
2023-06-08 00:00:00.000,no fee,35637
2023-06-09 00:00:00.000,no fee,33455
2023-06-10 00:00:00.000,no fee,30472
2023-06-11 00:00:00.000,no fee,36602
2023-06-12 00:00:00.000,no fee,35307
2023-06-13 00:00:00.000,no fee,33527
2023-06-14 00:00:00.000,no fee,32624
2023-06-15 00:00:00.000,no fee,33239
2023-06-16 00:00:00.000,no fee,39415
2023-06-17 00:00:00.000,no fee,34762
2023-06-18 00:00:00.000,no fee,33923
2023-06-19 00:00:00.000,no fee,34374
2023-06-20 00:00:00.000,no fee,35172
2023-06-21 00:00:00.000,no fee,36303
2023-06-22 00:00:00.000,no fee,33869
2023-06-23 00:00:00.000,no fee,32197
2023-06-24 00:00:00.000,no fee,30784
2023-06-25 00:00:00.000,no fee,31817
2023-06-26 00:00:00.000,no fee,33307
2023-06-27 00:00:00.000,no fee,39492
2023-06-28 00:00:00.000,no fee,34182
2023-06-29 00:00:00.000,no fee,40831
2023-06-30 00:00:00.000,no fee,40059
2023-07-01 00:00:00.000,no fee,38658
2023-07-02 00:00:00.000,no fee,36811
2023-07-03 00:00:00.000,no fee,42151
2023-07-04 00:00:00.000,no fee,35830
2023-07-05 00:00:00.000,no fee,27784
2023-07-06 00:00:00.000,no fee,29965
2023-07-07 00:00:00.000,no fee,31296
2023-07-08 00:00:00.000,no fee,30658
2023-07-09 00:00:00.000,no fee,30836
2023-07-10 00:00:00.000,no fee,34783
2023-07-11 00:00:00.000,no fee,33649
2023-07-12 00:00:00.000,no fee,35135
2023-07-13 00:00:00.000,no fee,33390
2023-07-14 00:00:00.000,no fee,34847
2023-07-15 00:00:00.000,no fee,31796
2023-07-16 00:00:00.000,no fee,32312
2023-07-17 00:00:00.000,no fee,29667
2023-07-18 00:00:00.000,no fee,38154
2023-07-19 00:00:00.000,no fee,34909
2023-07-20 00:00:00.000,no fee,33137
2023-07-21 00:00:00.000,no fee,32174
2023-07-22 00:00:00.000,no fee,32637
2023-07-23 00:00:00.000,no fee,31284
2023-07-24 00:00:00.000,no fee,30676
2023-07-25 00:00:00.000,no fee,31314
2023-07-26 00:00:00.000,no fee,31468
2023-07-27 00:00:00.000,no fee,28878
2023-07-28 00:00:00.000,no fee,32254
2023-07-29 00:00:00.000,no fee,31494
2023-07-30 00:00:00.000,no fee,30338
2023-07-31 00:00:00.000,no fee,32418
2023-08-01 00:00:00.000,no fee,28560
2023-08-02 00:00:00.000,no fee,27434
2023-08-03 00:00:00.000,no fee,31310
2023-08-04 00:00:00.000,no fee,29461
2023-08-05 00:00:00.000,no fee,27378
2023-08-06 00:00:00.000,no fee,25462
2023-08-07 00:00:00.000,no fee,30185
2023-08-08 00:00:00.000,no fee,30948
2023-08-09 00:00:00.000,no fee,31748
2023-08-10 00:00:00.000,no fee,28263
2023-08-11 00:00:00.000,no fee,29495
2023-08-12 00:00:00.000,no fee,28169
2023-08-13 00:00:00.000,no fee,25291
2023-08-14 00:00:00.000,no fee,24685
2023-08-15 00:00:00.000,no fee,28308
2023-08-16 00:00:00.000,no fee,25147
2023-08-17 00:00:00.000,no fee,22932
2023-08-18 00:00:00.000,no fee,28373
2023-08-19 00:00:00.000,no fee,29847
2023-08-20 00:00:00.000,no fee,25600
2023-08-21 00:00:00.000,no fee,33911
2023-08-22 00:00:00.000,no fee,32143
2023-08-23 00:00:00.000,no fee,29666
2023-08-24 00:00:00.000,no fee,27245
2023-08-25 00:00:00.000,no fee,23513
2023-08-26 00:00:00.000,no fee,21537
2023-08-27 00:00:00.000,no fee,19628
2023-08-28 00:00:00.000,no fee,20551
2023-08-29 00:00:00.000,no fee,20943
2023-08-30 00:00:00.000,no fee,23756
2023-08-31 00:00:00.000,no fee,24826
2023-09-01 00:00:00.000,no fee,20824
2023-09-02 00:00:00.000,no fee,19597
2023-09-03 00:00:00.000,no fee,17937
2023-09-04 00:00:00.000,no fee,18831
2023-09-05 00:00:00.000,no fee,20895
2023-09-06 00:00:00.000,no fee,20033
2023-09-07 00:00:00.000,no fee,19181
2023-09-08 00:00:00.000,no fee,19842
2023-09-09 00:00:00.000,no fee,16506
2023-09-10 00:00:00.000,no fee,15945
2023-09-11 00:00:00.000,no fee,18056
2023-09-12 00:00:00.000,no fee,18904
2023-09-13 00:00:00.000,no fee,20362
2023-09-14 00:00:00.000,no fee,23841
2023-09-15 00:00:00.000,no fee,21379
2023-09-16 00:00:00.000,no fee,17602
2023-09-17 00:00:00.000,no fee,15782
2023-09-18 00:00:00.000,no fee,18929
2023-09-19 00:00:00.000,no fee,21566
2023-09-20 00:00:00.000,no fee,20304
2023-09-21 00:00:00.000,no fee,18012
2023-09-22 00:00:00.000,no fee,20326
2023-09-23 00:00:00.000,no fee,20832
2023-09-24 00:00:00.000,no fee,19884
2023-09-25 00:00:00.000,no fee,19587
2023-09-26 00:00:00.000,no fee,19735
2023-09-27 00:00:00.000,no fee,18807
2023-09-28 00:00:00.000,no fee,18932
2023-09-29 00:00:00.000,no fee,19467
2023-09-30 00:00:00.000,no fee,31119
