DATE,CHAIN,PERIOD,NEW_USERS
2023-06-01 00:00:00.000,Arbitrum,no fee,11304
2023-06-01 00:00:00.000,BSC,no fee,7201
2023-06-01 00:00:00.000,Ethereum,no fee,8872
2023-06-01 00:00:00.000,Optimism,no fee,4850
2023-06-01 00:00:00.000,Polygon,no fee,7116
2023-06-02 00:00:00.000,Arbitrum,no fee,10602
2023-06-02 00:00:00.000,BSC,no fee,6374
2023-06-02 00:00:00.000,Ethereum,no fee,7671
2023-06-02 00:00:00.000,Optimism,no fee,5492
2023-06-02 00:00:00.000,Polygon,no fee,5432
2023-06-03 00:00:00.000,Arbitrum,no fee,11236
2023-06-03 00:00:00.000,BSC,no fee,6919
2023-06-03 00:00:00.000,Ethereum,no fee,8840
2023-06-03 00:00:00.000,Optimism,no fee,5585
2023-06-03 00:00:00.000,Polygon,no fee,8209
2023-06-04 00:00:00.000,Arbitrum,no fee,12074
2023-06-04 00:00:00.000,BSC,no fee,8931
2023-06-04 00:00:00.000,Ethereum,no fee,7573
2023-06-04 00:00:00.000,Optimism,no fee,5166
2023-06-04 00:00:00.000,Polygon,no fee,7439
2023-06-05 00:00:00.000,Arbitrum,no fee,10502
2023-06-05 00:00:00.000,BSC,no fee,9130
2023-06-05 00:00:00.000,Ethereum,no fee,7378
2023-06-05 00:00:00.000,Optimism,no fee,4632
2023-06-05 00:00:00.000,Polygon,no fee,7321
2023-06-06 00:00:00.000,Arbitrum,no fee,9998
2023-06-06 00:00:00.000,BSC,no fee,8901
2023-06-06 00:00:00.000,Ethereum,no fee,8035
2023-06-06 00:00:00.000,Optimism,no fee,2886
2023-06-06 00:00:00.000,Polygon,no fee,5116
2023-06-07 00:00:00.000,Arbitrum,no fee,9732
2023-06-07 00:00:00.000,BSC,no fee,7954
2023-06-07 00:00:00.000,Ethereum,no fee,7168
2023-06-07 00:00:00.000,Optimism,no fee,3805
2023-06-07 00:00:00.000,Polygon,no fee,5021
2023-06-08 00:00:00.000,Arbitrum,no fee,9699
2023-06-08 00:00:00.000,BSC,no fee,9598
2023-06-08 00:00:00.000,Ethereum,no fee,6691
2023-06-08 00:00:00.000,Optimism,no fee,5337
2023-06-08 00:00:00.000,Polygon,no fee,5782
2023-06-09 00:00:00.000,Arbitrum,no fee,9142
2023-06-09 00:00:00.000,BSC,no fee,7882
2023-06-09 00:00:00.000,Ethereum,no fee,6408
2023-06-09 00:00:00.000,Optimism,no fee,5287
2023-06-09 00:00:00.000,Polygon,no fee,6413
2023-06-10 00:00:00.000,Arbitrum,no fee,9642
2023-06-10 00:00:00.000,BSC,no fee,6243
2023-06-10 00:00:00.000,Ethereum,no fee,5348
2023-06-10 00:00:00.000,Optimism,no fee,4548
2023-06-10 00:00:00.000,Polygon,no fee,6412
2023-06-11 00:00:00.000,Arbitrum,no fee,13971
2023-06-11 00:00:00.000,BSC,no fee,8111
2023-06-11 00:00:00.000,Ethereum,no fee,4906
2023-06-11 00:00:00.000,Optimism,no fee,5529
2023-06-11 00:00:00.000,Polygon,no fee,5962
2023-06-12 00:00:00.000,Arbitrum,no fee,10465
2023-06-12 00:00:00.000,BSC,no fee,7729
2023-06-12 00:00:00.000,Ethereum,no fee,5983
2023-06-12 00:00:00.000,Optimism,no fee,5897
2023-06-12 00:00:00.000,Polygon,no fee,7270
2023-06-13 00:00:00.000,Arbitrum,no fee,9256
2023-06-13 00:00:00.000,BSC,no fee,6418
2023-06-13 00:00:00.000,Ethereum,no fee,6604
2023-06-13 00:00:00.000,Optimism,no fee,5175
2023-06-13 00:00:00.000,Polygon,no fee,7467
